category,key,en,hi,ta,te,kn,ml,bn,mr,gu,pa,en_short,hi_short,ta_short,te_short,kn_short,ml_short,bn_short,mr_short,gu_short,pa_short
planet,sun,Sun,सूर्य,சூரியன்,సూర్యుడు,ಸೂರ್ಯ,സൂര്യൻ,সূর্য,सूर्य,સૂર્ય,ਸੂਰਜ,Su,सू,சூ,సూ,ಸೂ,സൂ,সূ,सू,સૂ,ਸੂ
planet,moon,Moon,चंद्र,சந்திரன்,చంద్రుడు,ಚಂದ್ರ,ചന്ദ്രൻ,চন্দ্র,चंद्र,ચંદ્ર,ਚੰਦਰ,Mo,च,சந்,చం,ಚಂ,ച,চ,चं,ચં,ਚੰ
planet,mars,Mars,मंगल,செவ்வாய்,కుజుడు,ಮಂಗಳ,ചൊവ്വ,মঙ্গল,मंगळ,મંગળ,ਮੰਗਲ,Ma,मं,செ,కు,ಮಂ,ചൊ,মং,मं,મં,ਮੰ
planet,mercury,Mercury,बुध,புதன்,బుధుడు,ಬುಧ,ബുധൻ,বুধ,बुध,બુધ,ਬੁੱਧ,Me,बु,பு,బు,ಬು,ബു,বু,बु,બુ,ਬੁ
planet,jupiter,Jupiter,गुरु,குரு,గురుడు,ಗುರು,ഗുരു,বৃহস্পতি,गुरु,ગુરુ,ਗੁਰੂ,Ju,गु,குரு,గు,ಗು,ഗു,বৃ,गु,ગુ,ਗੁ
planet,venus,Venus,शुक्र,சுக்கிரன்,శుక్రుడు,ಶುಕ್ರ,ശുക്രൻ,শুক্র,शुक्र,શુક્ર,ਸ਼ੁੱਕਰ,Ve,शु,சுக்,శు,ಶು,ശു,শু,शु,શુ,ਸ਼ੁ
planet,saturn,Saturn,शनि,சனி,శని,ಶನಿ,ശനി,শনি,शनि,શનિ,ਸ਼ਨੀ,Sa,श,சனி,శ,ಶ,ശ,শ,श,શ,ਸ਼
planet,rahu,Rahu,राहु,ராகு,రాహు,ರಾಹು,രാഹു,রাহু,राहू,રાહુ,ਰਾਹੂ,Ra,रा,ராகு,రా,ರಾ,രാ,রা,रा,રા,ਰਾ
planet,ketu,Ketu,केतु,கேது,కేతు,ಕೇತು,കേതു,কেতু,केतु,કેતુ,ਕੇਤੂ,Ke,के,கேது,కే,ಕೇ,കേ,কে,के,કે,ਕੇ
term,ascendant,Ascendant,लग्न,லக்னம்,లగ్నం,ಲಗ್ನ,ലഗ്നം,লগ্ন,लग्न,લગ્ન,ਲਗਨ,Asc,लग्,லக,లగ్,ಲಗ್,ലഗ്,লগ্,लग्,લગ્,ਲਗ
